embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
128,128,0.001,0.1,2,l2,untied,false,false,false,false,004950451290366531,7120753090379.5205,6.362610416249264e-8,42369.09902704421
32,32,0.001,0.03,6,l2,tied,true,false,true,false,004989852862326893,3.916367347963154,8360.306558267679,27896.721846626424
512,512,0.01,1,1,l2,untied,false,false,true,false,004997696234466331,239916.9671264385,0.0000011324613877980956,0.0000398203013660324
256,256,0.0001,0.03,1,l2,input_tied,true,false,false,false,005007593176415526,6425862945225.603,4.16136900491366e-8,42382.66699103762
256,256,0.01,0.01,4,l2,tied,true,false,true,false,0050462737573917504,45.30724870956793,4019.28765063993,19094.98674141693
128,128,0.0001,0.3,3,l2,tied,true,false,false,true,0050771961147710876,722734078473.8958,1.5818778553224382e-7,0.000009411851342598677
128,128,0.01,0.01,7,l2,tied,true,true,true,false,005100095673060467,7.590541717458508,4268.594640940379,18838.854670584704
32,32,0.01,0.01,5,l2,tied,false,false,true,false,0051349635282266215,6503451412971.428,7.210221308881939e-9,0.000001432507594798653
512,512,0.001,0.1,0,l2,input_tied,false,false,false,false,00514351591316331,4669108792669.804,2.1167617436579973e-8,7.185770312075004e-8
64,64,0.0001,1,6,l2,input_tied,false,false,true,false,0051642815595089875,1058961.5287726375,0.36198491160665014,42309.93763621678
128,128,0.01,0.3,5,l2,untied,false,true,false,true,005206751646532171,1609185977988.8652,7.637881460512583e-8,9.906097949887054e-7
256,256,0.01,1,0,l2,input_tied,false,true,true,true,005247897527180911,791.1188719304704,9.049836802605833e-7,0.00004706977179179778
64,64,0.0001,0.1,7,l2,untied,false,true,true,false,005275327890656545,3660571005568.9966,3.217349397853978e-7,42306.901600858335
128,128,0.0001,0.1,2,l2,input_tied,true,true,false,false,0052995155114383685,1840824471849.1982,1.107113458665557e-7,12931.413471679043
64,64,0.001,1,4,l2,untied,false,false,true,true,005330852940184427,595339859.5079862,0.0008062017951611011,42307.214336701545
256,256,0.001,0.03,7,l2,tied,true,true,false,false,005332275976588141,8396087718757.52,1.2840947860548356e-8,0.0000018023434768215741
32,32,0.01,0.1,6,l2,tied,false,false,false,true,005383893713477028,71129.17679060392,2.792733400071919e-8,1.3412003150364562e-7
512,512,0.01,0.3,8,l2,input_tied,false,false,false,false,005392305060637703,50272356022.52371,6.462878787635208e-8,2.1007318906349873e-7
32,32,0.001,1,4,l2,input_tied,true,true,false,false,005437929883044923,159564.2066702606,0.004060835600794089,429.34190561225057
256,256,0.0001,1,2,l2,input_tied,false,false,true,false,0055002031023394515,103494260989.96033,0.0000011353023770175323,0.00007026686330681713
128,128,0.0001,0.03,8,l2,tied,false,true,false,true,005552125207164971,18525940259255.72,7.678458091564076e-9,21615.93745422801
64,64,0.001,0.3,1,l2,tied,true,false,true,false,005566332780429617,2.8964577908277738,7724.061983581184,22368.516912911855
64,64,0.01,0.1,3,l2,input_tied,false,true,false,true,005573757930079748,2418782900.323261,2.0410391376931274e-8,9.928904542791738e-8
64,64,0.01,1,8,l2,tied,true,false,true,false,005574634532172773,2.7272968701007407,10444.028206409257,28470.570010882577
512,512,0.01,0.1,3,l2,untied,false,false,false,true,005579431575059912,3324764880319.92,2.405531152041825e-8,7.307743321548966e-8
64,64,0.001,0.1,1,l2,tied,false,true,false,true,005627923725201711,1621187631413.4785,1.5029811839479212e-8,7.261875434177765e-8
32,32,0.01,1,0,l2,untied,false,false,true,true,005649904717455634,5815.014689815267,0.00037702424580276324,0.1019889639807352
128,128,0.001,0.03,5,l2,tied,true,true,false,true,005738024060112479,10630075439755.19,1.5301198530387417e-8,0.000672352162106349
64,64,0.0001,0.03,8,l2,input_tied,false,true,false,false,005738929886598632,12113723344218.535,9.000733713883762e-9,13269.174620836679
64,64,0.0001,1,1,l2,input_tied,false,true,false,false,005836300294406405,45975849275.94421,3.5281305119045525e-7,0.0000037644829192156526
32,32,0.01,0.01,3,l2,input_tied,false,false,false,false,005872811874729766,34706957035981.754,2.137765875421593e-8,42377.07002340059
32,32,0.0001,0.1,6,l2,input_tied,true,false,false,false,005894119464107006,269669528902.91525,1.12879908084055e-7,259.5267918943132
32,32,0.001,1,5,l2,tied,false,false,true,false,005920408739826133,5.688443843004982,90.15953561483516,454.0789850401313
256,256,0.001,0.1,6,l2,input_tied,true,true,false,false,005952991028696286,1296148043659.7148,6.61623642530728e-8,0.00003050672026553173
128,128,0.01,0.03,6,l2,input_tied,true,false,true,false,005968108992148502,242452965426.1479,1.5255528573342485e-7,8.22969385840641
32,32,0.0001,0.03,5,l2,tied,false,true,false,false,005970102426374413,9710994033207.648,1.6540435465641137e-8,15722.412341905827
256,256,0.01,0.1,6,l2,input_tied,true,true,true,false,005975482433618784,1808882253.6930125,4.2815174491910757e-7,2.5784165337090137
512,512,0.0001,1,7,l2,untied,true,false,true,false,005982949569673046,5476067458.0078535,0.000013172399296731657,37.29361923320509
64,64,0.0001,0.3,4,l2,tied,false,true,true,false,0059920087137567135,3578941638.3441863,2.1826624195925346e-7,0.000003401431109740334
128,128,0.01,0.1,2,l2,input_tied,true,false,true,false,006001297853345355,16470508450.501429,5.604735561801441e-7,17.709974258770828
64,64,0.0001,0.1,8,l2,input_tied,false,true,true,false,006007138221345909,1579738261105.3513,1.379119212125242e-7,42303.64974455126
64,64,0.01,0.3,6,l2,untied,false,true,true,false,006026592786175122,625884204733.9596,3.2594884988860224e-7,0.0003941146091629917
64,64,0.01,0.01,7,l2,untied,false,true,true,false,006062191357915414,44443570409997.305,2.392289588639978e-8,42369.94380567169
32,32,0.001,0.03,0,l2,untied,false,true,true,false,006077910830275424,4018.2775745876165,1069.0012025392557,42302.391703143076
512,512,0.0001,0.03,2,l2,tied,true,false,false,true,006182450773608461,7450632931087.965,3.0487219415539475e-8,42802.38314770969
256,256,0.0001,0.3,2,l2,tied,false,true,false,true,006215056980905187,1296418198110.9797,4.722507629344078e-8,4.0918979370963665e-7
512,512,0.0001,0.03,3,l2,untied,true,false,false,false,006273730254127141,7040721145039.287,4.908873330012361e-8,42361.13045878782
256,256,0.0001,1,0,l2,tied,false,false,true,true,006383069177335554,141257088754.80942,0.0000018035401032586306,42549.124995409016
256,256,0.0001,0.01,5,l2,untied,true,false,true,false,006577599794804878,2804313662921.9546,1.3552297905865173e-7,42325.77731096512
128,128,0.01,0.1,1,l2,untied,false,false,true,false,006594500853784879,1789208066884.2036,9.362860286939632e-8,0.0000032636587635497225
