embed_size,hidden_size,learning_rate,weight_decay,seed,regularization,embed_config,is_collapsed_hidden,is_tied_hidden,is_collapsed_out,is_symmetric_input,slug,maxRatio,minTrainLoss,minEvalLoss
256,256,0.001,1e-8,3,l1,tied,false,true,true,false,007622507166555659,18737.629921344105,5.574998168755947e-7,0.000006055752416916429
512,512,0.0001,1e-7,7,l1,input_tied,false,true,false,false,007707087151966885,491.7631674342042,0.0000028429931799713474,0.000007215934151136684
512,512,0.0001,1e-11,6,l1,input_tied,false,true,true,false,007753540081350763,13958798.728724083,6.9216835964726e-9,0.04188227679898894
64,64,0.0001,1e-10,1,l1,tied,false,false,true,false,0077688128076438545,41959023.80701079,3.501593597116204e-8,0.04191345225003806
512,512,0.0001,1e-10,4,l1,input_tied,false,true,false,false,007778729353954406,1708547.2040531433,2.7773635746162775e-8,0.0002873607429081168
64,64,0.01,1e-8,6,l1,tied,true,false,true,false,007811466737760342,2.6331459234223256,0.010924145136636112,0.02113716256110272
256,256,0.01,1e-10,6,l1,input_tied,false,false,false,false,007854787001538854,11406535.9547494,2.222288380327364e-9,0.0000020267397700268315
256,256,0.01,1e-8,4,l1,tied,true,false,true,false,00792350673964215,3.0671195279616,0.010091825598275662,0.01738208793963639
256,256,0.01,1e-10,3,l1,tied,true,true,true,false,007929995796778999,53.44118369756922,0.008785328269689694,0.01802090935943728
32,32,0.01,1e-10,3,l1,tied,true,false,true,false,007930843250849029,4.649726895698882,0.017226965804383397,0.026591270640520286
64,64,0.01,1e-8,3,l1,tied,false,true,true,false,007952522233857118,486.41435713417275,5.891272999116663e-7,0.0000028298708260269493
512,512,0.001,1e-9,1,l1,input_tied,true,false,false,false,008096442160613337,92312.61138229477,6.996253434077661e-8,0.000008299169259014095
256,256,0.0001,1e-7,0,l1,tied,true,true,true,false,008148627947232479,1.4539733251105218,0.01157159873701875,0.016820838971069563
512,512,0.001,1e-10,0,l1,tied,false,true,false,false,008228059639092011,2194822.1452554073,2.500159337756875e-9,4.044223026840397e-8
256,256,0.01,1e-9,8,l1,input_tied,true,true,false,false,00823377916030854,128576.92554103838,5.592112623493053e-8,0.00000428271279021046
