n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,1250,32,0.03,10,1,05673456196331894,1617756.591276143,1.1920930376163597e-7,1.5908483419480035e-7
30,3,1000,32,0.01,3,7,057199382810026345,26503544.84053125,1.1920930376163597e-7,0.7065584659576416
30,3,1500,32,1,1,4,05832277970850852,1.6368367305098994,0.09587275236845016,0.10252822190523148
30,3,1500,32,0.3,1,7,058570157895294184,143.8348845169214,1.192887850720581e-7,1.9713641563612327e-7
30,3,1500,32,0.01,3,6,05857928806737711,424151.8244371624,1.1920930376163597e-7,0.002328741829842329
30,3,1750,32,1,0.3,0,05860578351496304,2.0468510595456344,0.052261434495449066,0.059610240161418915
30,3,1000,32,0.03,0.1,2,0589615287713211,29239528.51437658,1.1920930376163597e-7,0.010628759860992432
30,3,750,32,0.3,0.3,0,06005630957874908,43045546.86857094,1.1920930376163597e-7,0.6971694231033325
30,3,1750,32,0.03,3,7,06009508826041887,7006.01806640625,1.1920928955078125e-7,1.206755797511505e-7
30,3,1750,32,0.03,3,6,060127983324509415,104416.109375,1.1920928955078125e-7,1.2006761096472474e-7
30,3,1750,32,1,10,3,06410802378594593,1.6536841343052369,0.045866772532463074,0.048790886998176575
30,3,1500,32,0.03,0.3,7,06412970831235743,296344.12092302786,1.1920930376163597e-7,1.2974740570825816e-7
30,3,1750,32,0.1,3,3,0647189108916868,8493.44921875,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1000,32,0.3,3,1,06480837302643927,22143990.055929113,1.1920930376163597e-7,5.267026494948368e-7
30,3,1750,32,0.03,1,7,06518449502959678,27171.744140625,1.1920928955078125e-7,1.1996033322247968e-7
30,3,1750,32,1,10,5,06539109688844302,1.6821826481191595,0.04019828513264656,0.043733976781368256
30,3,1500,32,0.3,1,7,06551656233109449,12774.524181221219,1.1924903731141967e-7,2.1718744847021298e-7
30,3,1500,32,0.3,1,2,06566323506709759,53.23365343377156,1.1920930376163597e-7,1.6072991115834157e-7
30,3,1500,32,0.03,10,2,06616923477452952,142784.79547872598,1.1920930376163597e-7,1.261592075252338e-7
30,3,1000,32,0.01,0.1,2,06636971237441736,33986595.948482044,1.1920930376163597e-7,0.692703366279602
30,3,1500,32,0.3,0.1,2,06692741680551384,1147.0346238787224,1.1920930376163597e-7,1.782894401003432e-7
30,3,1750,32,0.1,10,0,06787445751256982,7522.877272426601,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1500,32,0.3,3,6,06832559671700633,16.080749593901686,1.192887850720581e-7,2.1933671234819485e-7
30,3,1500,32,0.03,1,4,07104622772944658,79455.69365314321,1.1920930376163597e-7,1.1924507248295413e-7
30,3,1500,32,0.01,1,8,07216448146108934,6850204.8945193365,1.1920930376163597e-7,0.11408061534166336
30,3,750,32,0.3,0.3,3,07367931301554342,37560687.52241713,1.1920930376163597e-7,0.6983637809753418
30,3,1750,32,1,1,4,07427723013147058,1.5851787630144638,0.05340978875756264,0.06339466571807861
30,3,1750,32,1,1,8,07432488560927586,1.945576144054193,0.0420648492872715,0.04493166133761406
30,3,1500,32,0.3,1,5,07460711799114506,4072.9739276778637,1.1920930376163597e-7,1.8875601881518378e-7
30,3,1000,32,1,1,4,07471895331074452,5.031600120225407,0.13454221189022064,0.6670345664024353
30,3,1500,32,0.03,0.3,8,07492971125669035,437536.76034155366,1.1920930376163597e-7,1.418471526903886e-7
30,3,750,32,0.1,10,1,07523127103176797,40079039.222206205,1.1920930376163597e-7,1.3853313873823936e-7
30,3,1750,32,0.3,1,3,07624223411745656,501.88494381637594,1.1920928955078125e-7,2.0133261102728284e-7
30,3,1000,32,0.3,1,1,07680253916747859,26415095.600589853,1.1920930376163597e-7,3.5237081874583964e-7
30,3,1750,32,0.03,0.1,0,07687687471944626,28791.439453125,1.1920928955078125e-7,1.1930467280762969e-7
30,3,750,32,1,1,0,07708821877247152,13.654496863522477,0.07496005296707153,0.7066457867622375
30,3,1750,32,0.1,10,8,07767801674875474,1255.5160954265234,1.1920928955078125e-7,1.1920930376163597e-7
30,3,1500,32,0.3,0.3,3,07830365465799483,18160.520657352423,1.1920930376163597e-7,1.754403484710565e-7
30,3,1500,32,0.01,1,6,07837283238347192,162136.96504676758,1.1920930376163597e-7,0.0013808389194309711
30,3,1250,32,0.03,0.1,0,07873280365705315,3346073.5375704877,1.1920930376163597e-7,1.857519578152278e-7
30,3,1500,32,0.01,3,3,079950121646156,156135.4032622095,1.1920930376163597e-7,0.000006117983957665274
30,3,1500,32,0.03,1,5,08012443155788818,177340.44760937124,1.1920930376163597e-7,1.201510571036124e-7
30,3,1250,32,0.3,3,2,08083152543220373,4824065.364759707,1.1920930376163597e-7,2.0666126943069685e-7
