n,k,train_size,hidden_size,weight_decay,w_init_scale,seed,slug,maxRatio,minTrainLoss,minEvalLoss
30,3,250,32,1,1,5,1594499869904814,9176.284541483288,0.00031668288283981383,0.6991837024688721
30,3,2000,64,0.01,1,7,16016630288480327,30352.37919421444,1.1920930376163597e-7,0.000010918231964751612
30,3,2000,16,0.001,1,6,16087554950346594,26411.842554588013,1.1920930376163597e-7,0.000029923852707725018
30,3,250,128,0.1,1,3,1611345987970133,62965604.49391502,1.1920930376163597e-7,0.7023994326591492
30,3,1000,8,0.0001,1,3,16365527201623797,51.291642750305805,1.1920930376163597e-7,2.0361360952847463e-7
30,3,250,8,1,1,6,164057658765431,4.277546701768929,0.24324825406074524,0.6990025043487549
30,3,1000,8,0.00001,1,2,16510041286906418,1.1868721303629004,0.0866435095667839,0.08830706775188446
30,3,1500,8,0.00001,1,4,1662245931168791,499.10508097830245,1.1920930376163597e-7,0.000004156633622187655
30,3,250,8,0.1,1,2,1670380774210668,19.721699679442587,0.17179054021835327,0.6940359473228455
30,3,500,128,0.001,1,1,16705312607560396,62327956.56992858,1.1920930376163597e-7,0.7001222372055054
30,3,250,64,1,1,4,16877322329980915,43053062.86767496,1.1920930376163597e-7,0.7062956094741821
30,3,250,128,0.01,1,7,16950966621118913,62730736.52191347,1.1920930376163597e-7,0.7021042108535767
30,3,2000,64,0.0001,1,0,17076059059201854,606483.0527015862,1.1920930376163597e-7,0.034583091735839844
30,3,1000,64,0.00001,1,0,17254304373601825,40877227.127054796,1.1920930376163597e-7,0.7000786662101746
30,3,1500,8,0.1,1,8,1728809017157944,1.2805550354986655,0.24769343435764313,0.26606303453445435
30,3,500,64,0.00001,1,0,17310012079721548,60634984.771746546,1.1920930376163597e-7,0.7026072144508362
30,3,1500,16,0.1,1,1,17362974309298151,14.625133678301134,1.1920930376163597e-7,1.2018682582493057e-7
30,3,250,8,0.00001,1,8,1749464026943508,78.6382992093302,0.07208755612373352,0.6939276456832886
30,3,2000,32,0.01,1,3,1754477307638187,147832.70112696872,1.1920930376163597e-7,0.0000873461103765294
30,3,250,128,0.0001,1,1,17573222267300093,63514100.42852921,1.1920930376163597e-7,0.7027174830436707
30,3,2000,8,0.0001,1,4,17751326123336297,215289.60545005652,1.1920930376163597e-7,0.007370170205831528
30,3,2000,32,0.0001,1,1,1781320975607621,24244.755735601302,1.1920930376163597e-7,0.000012837338545068633
30,3,1500,128,0.1,1,8,17984683083221775,12179203.548125798,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1500,32,0.1,1,4,1803586056619153,19192.65786830689,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,64,0.1,1,3,18106952672198617,34200895.92293549,1.1920930376163597e-7,1.1936428734315996e-7
30,3,1000,64,0.01,1,8,18133411961282175,47936006.28558274,1.1920930376163597e-7,0.7085180878639221
30,3,500,32,0.00001,1,6,18202941296213693,58827016.9872731,1.1920930376163597e-7,0.717690110206604
30,3,1500,16,0.1,1,7,18379880813854887,934.6721787252677,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1000,128,0.001,1,0,1838063276643973,34686087.86509611,1.1920930376163597e-7,0.7007214426994324
30,3,1000,128,0.1,1,8,18424581955084318,32564322.118030295,1.1920930376163597e-7,1.1920930376163597e-7
30,3,1500,128,0.1,1,7,184356437727909,13792568.355797725,1.1920930376163597e-7,1.1920930376163597e-7
30,3,250,32,0.00001,1,0,185423529591486,63776636.39723249,1.1920930376163597e-7,0.7061113715171814
30,3,1000,32,0.00001,1,1,18607455220845426,32093954.174102522,1.1920930376163597e-7,0.6992178559303284
30,3,250,32,1,1,8,18655828192611346,40474651.94454449,1.2063982524068706e-7,0.7014244794845581
30,3,2000,128,0.0001,1,2,18845553632913037,2845819.41075189,1.1920930376163597e-7,0.10091257840394974
30,3,1000,8,0.0001,1,4,19061231880299712,120678.09069167885,1.1920930376163597e-7,0.0000033609514957788633
30,3,500,8,0.01,1,8,1907488747262236,2.3823827336470904,0.6080833673477173,0.6934429407119751
30,3,2000,32,0.001,1,5,19085502999963222,89946.09865258948,1.1920930376163597e-7,0.001068869954906404
30,3,1500,8,0.01,1,6,1914664543173561,1.6674691987893089,1.1920930376163597e-7,1.1931659571473574e-7
30,3,250,128,0.001,1,3,1923657425335472,64216900.34474893,1.1920930376163597e-7,0.7040942907333374
30,3,1000,32,0.00001,1,7,19265167975684316,43977326.75749412,1.1920930376163597e-7,0.7032174468040466
30,3,1500,32,0.00001,1,8,19360734391462076,152416.71620551153,1.1920930376163597e-7,0.014321578666567802
30,3,1500,16,0.01,1,6,19564752230297755,17003.189962674758,1.1920930376163597e-7,4.3355794332455844e-7
30,3,250,16,0.01,1,6,19611514516039874,60991844.72920552,1.1920930376163597e-7,0.7050004601478577
30,3,1500,128,0.01,1,5,1970380544740491,9021218.924586901,1.1920930376163597e-7,0.3396022617816925
30,3,250,8,0.001,1,2,19821487768728807,2551.0877248610427,0.0027727074921131134,0.7121410965919495
30,3,1500,64,0.0001,1,5,19947524713663956,6134696.268687217,1.1920930376163597e-7,0.23544242978096008
30,3,250,64,0.1,1,2,20027799666635004,61692468.645684645,1.1920930376163597e-7,0.7027474641799927
30,3,500,32,0.00001,1,1,2004998524285101,61228256.70102302,1.1920930376163597e-7,0.7028483152389526
30,3,500,32,0.001,1,7,2013639964062074,59843776.866065875,1.1920930376163597e-7,0.698213517665863
30,3,2000,64,0.00001,1,6,20150645277727497,367323.6749616057,1.1920930376163597e-7,0.025551559403538704
30,3,2000,16,0.00001,1,7,2016254635390995,24973.877306847986,1.1920930376163597e-7,0.000010901587302214466
30,3,1500,16,0.00001,1,7,20216784910367602,14820.12616299079,1.1920930376163597e-7,0.000014881422430335078
30,3,500,8,0.001,1,3,20257613926093687,63042176.48478693,1.1920930376163597e-7,0.7006331086158752
30,3,250,16,0.1,1,5,20258066301800404,61193640.70514957,1.1920930376163597e-7,0.7124005556106567
