train_size,hidden_size,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
1500,12,0.01,2,05551016526101549,19925.552312189066,1.1920930376163597e-7,2.757590209512273e-7
1250,12,0.03,2,057131976510975124,726.5902454149431,1.1920930376163597e-7,1.2066365684404445e-7
1000,20,0.1,7,05757198197683444,5788673.309936367,1.1920930376163597e-7,1.1920930376163597e-7
1000,12,0.03,1,05758508037268728,5739.714665849271,1.1920930376163597e-7,1.230836090826415e-7
2000,4,0.03,5,05778677184965941,1.1739272620561998,0.25715768337249756,0.25688040256500244
1500,12,0.3,5,05943898297983086,1.656019164168024,0.0000013220721939433133,0.0000014715927818542696
1500,4,1,8,059514532670484344,1.1372714094445622,0.6480969190597534,0.6982954144477844
1500,8,0.03,8,05997043979235628,1.0580305974044073,0.597955048084259,0.611910343170166
1500,16,0.03,7,06176948728505649,52534.49672928246,1.1920930376163597e-7,1.1947156508540502e-7
1750,20,0.03,6,06222537268656658,50892.53369628355,1.1920928955078125e-7,1.1948348799251107e-7
1750,16,0.1,6,06560866775441454,10923.383248396585,1.1920928955078125e-7,1.2319090103574126e-7
1500,12,0.1,8,06614259818799728,4.962891186587585,1.1920930376163597e-7,1.1920930376163597e-7
1750,8,0.03,4,0687201087611855,219912.47032218767,1.1920928955078125e-7,1.2004377936136734e-7
1250,16,1,2,07043388303218412,1.749267423580102,0.29376205801963806,0.469651997089386
1000,20,0.3,3,07165050223881075,20117.201443608472,1.1920930376163597e-7,3.192901942838944e-7
1750,12,1,3,07211451216412945,1.3140805215073932,0.25659480690956116,0.26335078477859497
1000,16,0.01,6,07301280209211669,9671227.7544436,1.1920930376163597e-7,0.1501321792602539
1500,4,0.01,7,07393805779319995,1.724367164300456,0.24999520182609558,0.2600696086883545
1250,16,0.3,2,07481395992256534,2.3559460295775283,1.1925698117920547e-7,1.2328627008173498e-7
1750,16,0.3,2,07545169087730719,1.8131741073667957,1.192433529695336e-7,1.1944773348204762e-7
1750,8,0.03,3,07627898566278701,1.9437339816764017,1.1920928955078125e-7,1.211762565844765e-7
1750,12,0.3,1,07686938116505293,1.679081620297895,0.000006087504061724758,0.000006926402420504019
1000,8,0.03,8,07754236276001691,2.419760309005619,0.498200923204422,0.6935381889343262
1000,8,0.01,6,07768328533063873,11608.744062175168,1.1920930376163597e-7,8.832519711177156e-7
1000,12,0.1,1,07783062009837893,112632.66207731955,1.1920930376163597e-7,1.1924507248295413e-7
1500,8,0.3,4,07828571410369334,1.375146109603073,0.007606296334415674,0.00852753221988678
2000,20,0.03,0,07981034545184273,13367.578484585465,1.1920930376163597e-7,1.1920930376163597e-7
2000,12,1,4,08141242188196263,1.118803831858108,0.3596010208129883,0.37056395411491394
1000,8,0.01,2,08189286402804719,2.002247345821298,0.5424372553825378,0.6984648704528809
1250,12,0.03,8,08267494390900998,235890.68607995618,1.1920930376163597e-7,1.2100936430670117e-7
1500,16,0.03,1,08272983812993384,34092.390467120356,1.1920930376163597e-7,1.193523644360539e-7
1250,12,0.3,1,08344192097340608,2.209213289472087,1.1920930376163597e-7,1.1956693413139874e-7
2000,16,0.1,8,08409617829188842,78.57542800609046,1.1920930376163597e-7,1.1920930376163597e-7
1500,16,0.01,4,0847365675459455,7251.9131980045795,1.1920930376163597e-7,4.7606656039533846e-7
1000,12,1,5,08596787839245768,1.891994161195359,0.39767006039619446,0.7003440856933594
2000,20,0.01,7,08673188407270915,34301.24981722238,1.1920930376163597e-7,4.355352132279222e-7
1500,16,1,8,08931734469842878,1.2243752769933554,0.27352914214134216,0.2869151830673218
1000,4,0.1,6,09038461982246515,1.4722269156246814,0.5974141359329224,0.694759726524353
1250,8,0.3,5,09056660938154815,1.493902334071277,0.0031214661430567503,0.003211584873497486
1250,20,0.01,3,09121903012945376,112483.33447679297,1.1920930376163597e-7,0.00024409350589849055
1500,8,0.01,0,09145175241029879,1.1419593870972058,0.33640751242637634,0.34033602476119995
1750,8,0.03,8,09210547910592415,1.7058548749201805,0.6369608044624329,0.6936809420585632
1000,12,0.1,0,09230779047623361,142654.49359461857,1.1920930376163597e-7,1.1936428734315996e-7
1500,4,0.01,3,09486224438117608,1.52279295323831,0.10397220402956009,0.09676393866539001
1000,12,0.01,3,09567522251315685,2633.9059360139445,1.1920930376163597e-7,2.3184360031791584e-7
1500,4,0.03,2,09589595153048547,1.1454587279707904,0.0896473303437233,0.08734545111656189
