embed_size,hidden_size,learning_rate,weight_decay,seed,slug,maxRatio,minTrainLoss,minEvalLoss
16,512,0.001,0.3,7,019696158939215058,1256826154507.9978,3.2337372778847715e-8,1.5714829614563619e-7
8,128,0.0001,0.3,5,020101073643498113,892503149202.2251,2.213363518719042e-7,7815.189723786847
64,256,0.01,0.3,3,020135033439261152,529991005237.2761,2.8089775616122137e-8,1.7387669991472574e-7
16,128,0.003,0.1,3,02037445030896401,5419048780667.904,2.0127641775225823e-8,7817.518017111588
8,128,0.0003,1,4,02045996414770046,84.76560531331529,0.000006612287144500474,0.00005029689468401953
32,512,0.0003,1,3,02083081255608865,148174426484.35403,1.5125793172054002e-7,0.0000022862123699248318
128,64,0.01,0.1,4,021003183067832,4168674498658.1357,9.246397425435e-9,1.375210221037394e-7
128,1024,0.001,0.1,7,021206654466111363,2894900964492.026,9.330496375467154e-9,1.688171515657867e-7
128,256,0.0001,0.3,7,021257874897689488,1019242220864.7385,5.6239276345068756e-8,7854.652245416676
32,1024,0.003,0.03,7,021277081945907828,18021563202190.137,2.506031826494887e-9,1.3975139934097089e-8
8,128,0.001,3,6,021303808992347628,2.785358411335314,1626.3848743716742,4068.1401999897425
128,1024,0.01,1,3,021454984431985347,1717053.8078502752,1.1253208786206973e-7,0.000001103527694053433
16,1024,0.01,0.1,1,021700673363700962,3464011730556.8887,8.36252778131327e-9,5.131398394991377e-8
32,64,0.0001,0.3,4,021703141104084445,1582489069351.146,7.82225413291204e-8,7823.970120851455
32,512,0.01,3,8,021952258616782183,214.185002512505,0.0000029412005658650126,0.00005237397039829779
8,512,0.0003,0.3,6,02208308746206078,858677014268.335,1.0330799614974338e-7,7814.417697501684
128,256,0.0003,1,0,02213776328746142,197797838669.9106,1.130414306522316e-7,8.976028796665514e-7
64,64,0.0003,1,8,02213963546398634,203235301899.95667,1.3554167609257482e-7,8.847710846971114e-7
16,128,0.001,1,5,022344426626462743,44674934136.39864,2.3756138519212723e-7,0.0000034895849844179178
32,1024,0.0003,1,4,022348729527221223,159919417551.9275,1.434528400380025e-7,0.000001593368475987943
64,1024,0.003,3,3,022500162495581066,734405.8701038581,8.141951100190727e-7,0.00003172015476024346
16,64,0.01,0.3,1,02254623275897416,334838042.3914134,3.4016605975683464e-8,1.5696548038182194e-7
8,256,0.0003,0.3,6,022702118485848244,386486558580.58105,3.502347767246014e-8,1.5373797234414726e-7
16,128,0.0003,0.03,5,02292978953942848,25520076677545.996,5.876084063746728e-9,7815.352425863464
16,128,0.0001,3,0,02350874457848795,5.445403040230129,96.928149350643,279.1100782529485
128,1024,0.0001,0.3,2,023580477679681966,910767173002.2867,5.2623251976484706e-8,7861.954944518551
32,64,0.0003,3,2,02395543098278985,19.16566381516016,19.587435605098204,366.092711319462
8,64,0.003,0.03,2,024525585837858577,12099236044006.746,3.5580600687889333e-9,1.5380948958809778e-8
8,256,0.0001,0.03,3,02459724832478105,8842353894592.72,4.021940336311922e-9,6754.341841193319
8,64,0.01,0.1,8,025256067828202222,529452810005.0108,1.004060301561277e-8,4.7517319855687156e-8
16,128,0.001,1,0,02565184106986651,24937626447.647697,2.417229818136704e-7,0.000002479271957987784
64,128,0.003,0.03,2,02577333231259582,15688770167101.031,3.151680694194934e-9,6.809296529031393
8,64,0.0003,0.3,4,02625278967766398,181304418232.96808,1.349603009171979e-7,4005.601834039392
8,512,0.003,0.03,5,026482089399939235,19519442981816.992,5.037197325899893e-9,7816.183829637774
32,1024,0.01,0.03,4,026501324904019907,17181592172768.414,2.6096507177397665e-9,3.041148666176823e-8
8,256,0.001,1,5,026612338103991218,1164473965.1606343,0.0000013608077726401528,0.00007596209108950836
128,64,0.001,3,1,02662116139407411,7370834174.804989,8.855347654201255e-7,0.000043227632760052035
8,512,0.0001,0.1,2,0269743407042472,6156278731587.021,1.9586176014099165e-8,7813.291008943537
32,64,0.003,0.1,6,027105475556405634,5362497358583.426,9.315708204771765e-9,8.305193532369341e-8
32,1024,0.0003,0.3,0,027152664853590802,1435915443636.5112,2.8961457675960496e-8,1.7515548477123402e-7
16,512,0.0003,3,0,027678210673540704,151.6234982415388,70.88729089968513,7820.275217860277
128,1024,0.001,3,7,02782308791923893,11896371712.895239,5.667554408155722e-7,0.000015810073019279804
64,128,0.0003,0.3,4,028153944236392614,1189961757042.6797,5.2504901313756314e-8,7836.958602424449
8,1024,0.003,1,8,028374586003193203,7543123060.741514,2.9360302183479595e-7,0.0000017256584620316311
16,64,0.001,0.03,6,0284057229296224,29131938072066.26,6.615066050452816e-9,7817.9234311901855
32,512,0.01,0.3,0,02844528721412576,263698533972.55005,2.8233426263050438e-8,2.041957407444409e-7
32,1024,0.0001,1,5,028460076002584045,166183220645.92102,2.8491619614049254e-7,7820.321694160439
16,64,0.0003,0.1,0,028540074762625545,7033360902631.131,2.414599342648758e-8,7815.747057175573
8,256,0.0003,1,4,028810965715922454,1227.1642527746162,5.675595009324642e-7,0.000005492983010314552
8,1024,0.003,0.3,7,028833970912348073,645036300108.6191,1.084899858759787e-7,7828.833994155461
128,1024,0.01,3,4,028983549401433883,2581.926734705508,5.682765733656481e-7,0.000011211651227313767
128,64,0.001,0.1,1,029086836443920294,4743356232202.857,1.1110631081735927e-8,21.57845321512029
128,1024,0.003,1,7,029171291190291493,62239652384.83137,1.1128175069519771e-7,0.0000013574405653249015
128,256,0.01,0.1,2,029367550479835303,2775045489778.657,8.530967932027596e-9,4.557646704407893e-8
32,64,0.0001,1,0,02944993487592995,123502576981.75386,7.060830303839369e-7,7819.781598373036
8,64,0.01,3,6,02946277767351213,2.89509966324004,1862.9724167531454,4550.186228354968
64,128,0.001,0.1,1,02946673584778292,4067425780824.831,8.798255901553016e-9,6.890911108078585e-8
128,512,0.0001,0.1,4,029714090177150876,3341220486275.625,1.729732512760243e-8,7862.836346831309
64,64,0.003,1,6,02978885119783925,122122949646.22154,1.4006243785620488e-7,0.0000019255792111181017
8,256,0.0001,0.3,7,029841369624826086,331149792656.0762,4.287385069051899e-8,0.010278489850340298
32,1024,0.001,1,1,029927335607639383,130426376195.91565,1.432489964293036e-7,0.0000017799704915118517
16,512,0.0003,0.1,8,0299470254370926,6644956854493.175,1.4140756343514912e-8,7818.810443917637
64,1024,0.0003,0.1,1,030127141195887885,3920615662413.8247,1.3391830311239335e-8,7838.968032756278
32,256,0.0001,0.03,2,030456597738798385,19281585784592.58,4.4946926180825945e-9,7817.1495010812705
8,512,0.003,3,7,030594308420904603,3.1218951704639353,679.6104177917111,1780.1886661760257
64,512,0.003,0.1,7,03103359178227072,3289805983849.928,8.497564651884951e-9,6.216813152956602e-8
16,128,0.0003,3,3,031094651824717157,5.1748997161838615,948.3648181331935,4215.672275994381
64,256,0.01,3,4,031100080579523737,1011.3969107402959,0.0000012837978632802784,0.00010434526221223275
8,512,0.001,1,0,031244233789887055,6086782137.855144,0.000010523765156859226,7814.722702481883
32,256,0.003,0.03,7,031273171366851815,16980662008338.316,2.7145972136768984e-9,2.1163717534671544e-7
32,512,0.003,1,3,031816118820718886,106007724027.01666,1.4772153054924136e-7,0.000001466841593193551
16,512,0.001,0.1,4,03185777846728588,5890127970239.56,9.928370348012582e-9,5.8998049111314955e-8
128,64,0.001,0.03,2,03207438663504991,17944893999835.91,5.40779487854565e-9,7880.460807361904
32,256,0.0003,0.1,4,032612218668257587,4788627750510.601,1.6236173738634673e-8,7824.042311579614
8,512,0.0003,0.1,5,03394003069453522,5180798442244.091,1.6876055441753046e-8,7815.016981674182
8,256,0.01,0.1,1,03394572866641232,2092437919510.2832,1.2823758499430723e-8,4.4830703149131156e-8
8,256,0.003,0.03,1,03399148370762539,21617570603101.418,6.722732814843231e-9,7814.528861155129
32,512,0.0001,0.03,7,03409151926080933,18674933513123.246,3.917200341864438e-9,7824.241048372325
32,128,0.003,0.03,1,03469093164664683,18685236216257.676,4.8848605160702166e-9,7831.530678705736
64,1024,0.0003,1,0,03475378802735696,177186587144.37494,1.1971856416406154e-7,0.0000015207772872944126
32,512,0.01,0.03,1,03486590549862634,15266896725538.398,2.4651625185572418e-9,1.4165382644574961e-8
16,1024,0.001,0.1,3,03496045893148991,6762615534424.85,9.434643510825103e-9,7.692291070531462e-8
16,512,0.001,0.03,6,03513594090190797,23982327158604.52,3.8190133277896135e-9,7819.242865206514
